,count,mean,std,min,25%,median,75%,max,missing,skew
close,56712.0,29671.970151391768,24366.063210900003,1270.0,13280.0,21720.0,39000.0,229700.0,0,2.023229536931634
open,56712.0,29684.464142602796,24352.00270650128,1270.0,13300.0,21770.0,39072.5,226200.0,0,2.016000190716303
high,56712.0,30197.516199581394,24727.492251754633,1300.0,13550.0,22170.0,39720.0,231100.0,0,2.01936390970129
low,56712.0,29150.492566230252,23954.589159695726,1210.0,13030.0,21320.0,38392.5,222000.0,0,2.012906523511128
volume,56712.0,14.354385390334318,1.7598459794851722,0.6931471805599453,13.368091562695476,14.511459309447336,15.62211364685882,19.22143851136027,0,-0.8921348159132453
ret_1d,56712.0,0.0006230360993862061,0.029475599476640163,-0.1694915254237288,-0.012915805097027555,0.0,0.014824598663738753,0.24301675977653625,0,-0.039966944617655355
eps,54491.0,775.3155288520768,869.6904396952903,-4517.73243,255.465068,573.3854749,1063.180097,7808.232787,2221,2.0621538942771878
roe,54456.0,0.03820805741060672,0.03571044751929186,-0.151059381,0.015681156,0.032431941,0.055542291,0.282975875,2256,1.1689313490662527
roa,54456.0,0.015906997924324224,0.021016543406097793,-0.04422006,0.003831719,0.010207928,0.021485698,0.184995797,2256,2.8626458088751843
pb,54491.0,2.2739926390623957,4.312317877622987,-6.804610164,1.209348387,1.741473908,2.6056604995,149.2926837,2221,25.876836340636892
pe,54491.0,35.18204501498782,3663.193473063188,-222574.1862,28.21477482,51.3795318,92.61435422,72049.7505,2221,-45.8948351235638
lnst_yoy,54146.0,1.2273190555845306,11.264981734147055,-96.50492753,-0.297513428,0.1630554,0.724617269,328.4594688,2566,24.35030921660419
nophaitra_vcsh,54520.0,2.9780091307572083,3.9094418528293766,0.003905054,0.75295012,1.452746398,2.848384172,20.07479297,2192,2.1336385364917287
vonhoa_tts,54491.0,0.7977625121794609,0.7163727929706742,0.026959536,0.308663274,0.631531942,1.050963795,6.776833264,2221,2.3656581798912772
sma_14,56712.0,29615.92524368316,24194.985083519972,1300.0,13295.714285714286,21757.14285714286,39043.57142857143,211685.7142857143,0,1.9726534624422416
sma_28,56439.0,29574.82068767251,24032.422450023838,1315.0,13301.428571428572,21754.285714285714,38978.03571428571,209360.7142857143,273,1.9314191166527244
sma_50,55063.0,29591.654642104975,23742.220307668373,1315.8,13386.2,21829.4,39137.8,190740.0,1649,1.877054944709214
sma_100,52594.0,29590.836969486238,23246.221353879828,1382.5,13607.349999999999,22009.5,39299.35,153828.0,4118,1.8183394174131675
rsi_9,56711.0,51.91691322265851,22.068138545214204,0.0,35.331337325349295,51.89873417721519,68.70748299319727,100.0,1,-0.035153484745715065
rsi_14,56712.0,52.02322240433905,18.557725807978475,0.0,38.495575221238944,52.33957637403195,65.75342465753425,100.0,0,-0.06471412588410522
