mack,nam,quy,eps,roe,roa,pb,pe,lnst_yoy,nophaitra_vcsh,vonhoa_tts
ACB,2020,1,924.4112231,0.05376405,0.00398763,1.043270432,19.25549967,0.125313258,12.17119698,0.076399135
ACB,2020,2,915.15059,0.050515721,0.003880998,1.27369912,24.91393247,-0.007234089,11.86827626,0.095549878
ACB,2020,3,959.7575261,0.065083169,0.005087798,1.527550518,23.44342127,0.339114337,11.72057845,0.116143907
ACB,2020,4,1179.492966,0.074583882,0.005906653,1.766599342,23.82379616,0.632132658,11.54028605,0.136638199
ACB,2021,1,1148.893748,0.067688353,0.005555428,1.952089682,28.98440353,0.615689895,10.85137393,0.160128004
ACB,2021,2,1197.393014,0.06610264,0.005621769,1.96330372,29.81477224,0.70093418,10.67094053,0.163742115
ACB,2021,3,778.1848287,0.050748771,0.004423838,2.05818226,40.54306745,0.013517487,10.28225017,0.177852921
ACB,2021,4,898.7941043,0.055581924,0.004822851,2.127108865,38.38476447,-0.047478313,10.75410378,0.176624701
ACB,2022,1,1216.727675,0.07062052,0.006223997,1.893269169,27.1630215,0.323803526,9.966802399,0.168924007
ACB,2022,2,1459.372235,0.078651102,0.00735406,1.270449557,16.44542731,0.523489173,9.443214464,0.119261309
ACB,2022,3,1062.046168,0.066548546,0.006493172,1.371581218,20.90304609,0.705967093,9.067577504,0.133625424
ACB,2022,4,849.9106334,0.050283484,0.004911112,1.290694052,25.767415,0.182015199,9.401935188,0.121679303
ACB,2023,1,1224.310426,0.068365199,0.006783748,1.375855201,20.41965784,0.257790107,8.77485863,0.138142388
ACB,2023,2,1144.610005,0.061657541,0.00622461,1.207483627,19.26420344,-0.019604134,9.035334175,0.118042875
ACB,2023,3,1195.45717,0.062263892,0.00631166,1.126513023,18.27752641,0.125616951,8.704558674,0.113794643
ACB,2023,4,1031.469376,0.058154197,0.005860112,1.335455486,23.17082848,0.395664128,9.130150855,0.129145106
ACB,2024,1,1005.501639,0.053591871,0.00540134,1.509055623,28.34406121,-0.055528027,8.724439761,0.152200941
ACB,2024,2,1000.432558,0.059747134,0.005970153,1.451351203,23.78970957,0.155915161,9.290829538,0.138117968
ACB,2024,3,866.5080418,0.050380372,0.005003511,1.488010211,29.71697752,-0.041406992,8.858603862,0.14795149
ACB,2024,4,1017.620801,0.056006379,0.005538404,1.417960362,25.35325534,0.134560024,9.352124756,0.133378488
ACB,2025,1,823.4940023,0.043137642,0.004190132,1.367693831,31.57278611,-0.058163541,9.240354805,0.130241582
ACB,2025,2,950.2599416,0.056013463,0.005348582,1.286618526,22.4149194,0.092326439,9.704445441,0.117199712
ACB,2025,3,833.3414776,0.047927915,0.00454876,1.468040891,30.59970095,0.105982464,9.376240091,0.138089565
ANV,2020,1,341.070077,0.018008373,0.010440778,0.732122888,36.79595733,-0.783547447,0.717018501,0.382478533
ANV,2020,2,252.7699851,0.01349083,0.007873496,1.018002414,66.06797083,-0.790283736,0.709733509,0.531923055
ANV,2020,3,314.8256004,0.016999014,0.009607797,1.144843005,60.82732782,-0.738084099,0.827849841,0.560926908
ANV,2020,4,679.7339722,0.036707641,0.018838262,1.517105022,36.63197813,-0.562896034,1.071392842,0.654826629
ANV,2021,1,501.8543963,0.026968013,0.01321204,1.344363645,45.33187348,0.471411391,1.011753287,0.599569076
ANV,2021,2,186.7549286,0.009852803,0.004812134,1.998242559,183.1276971,-0.261166516,1.082879201,0.86201637
ANV,2021,3,-103.5905186,-0.005453258,-0.002667922,1.683552448,-276.5697131,-1.329040962,1.004926852,0.754306605
ANV,2021,4,420.9026847,0.02256278,0.011015675,2.025056189,79.11567497,-0.380783215,1.092925051,0.866353676
ANV,2022,1,1625.37092,0.084737494,0.041387766,2.419585286,26.91693291,2.238730061,1.005599067,1.090843255
ANV,2022,2,1893.270881,0.090397048,0.04517826,2.77556521,27.99388113,9.137729135,0.996601773,1.212626691
ANV,2022,3,943.1585665,0.04217654,0.021310328,1.955111596,41.5624704,NULL,0.96243793,0.874808691
ANV,2022,4,837.9439597,0.036828312,0.019083458,1.133112427,26.91110752,0.990825885,0.897039579,0.524307872
ANV,2023,1,726.5964723,0.031225418,0.016523304,1.437761317,41.77008994,-0.552965749,0.882885055,0.675359856
ANV,2023,2,-401.5190352,-0.016965827,-0.009119896,1.730340236,-89.28592884,-1.212076908,0.837347058,0.831508434
ANV,2023,3,8.172803384,0.000348228,0.00019168,1.735976471,4404.853305,-0.991334645,0.7961011,0.853864947
ANV,2023,4,-23.83985935,-0.001088385,-0.000606109,1.655170213,-1304.537898,-1.029793185,0.795263108,0.809807168
ANV,2024,1,126.9673936,0.005917723,0.003322401,1.835996802,273.6923159,-0.817010095,0.767136923,0.913826819
ANV,2024,2,-17.18040327,-0.000800985,-0.000458604,1.715135772,-1877.138708,NULL,0.725874135,0.874033187
ANV,2024,3,209.39414,0.009773589,0.00563135,1.769426968,159.7465908,25.83006252,0.745220516,0.892728786
ANV,2024,4,20.05691154,0.001888719,0.001084264,2.14562554,987.1908723,NULL,0.738578057,1.084239108
ANV,2025,1,495.825084,0.046115971,0.027521905,1.690769022,33.17702257,6.810274273,0.615479695,0.925735691
ANV,2025,2,1249.974479,0.107528388,0.067363829,1.925410165,16.92034546,NULL,0.578950875,1.093503818
ANV,2025,3,1063.180097,0.083220528,0.05250432,2.395820189,27.13557194,9.154821878,0.590614034,1.36359747
BCM,2020,1,300.1715435,0.021390684,0.007591474,1.160620135,55.30171118,-0.4582043,1.742450896,0.390259947
BCM,2020,2,278.2827603,0.020021673,0.007202154,1.892121664,95.58623026,-0.476656711,1.818152136,0.619762571
BCM,2020,3,565.7965802,0.039437085,0.013855729,2.800140848,71.58049627,0.199452069,1.873549456,0.898121631
BCM,2020,4,747.599743,0.052573531,0.018275887,2.761751054,55.10970327,-0.063461112,1.879681016,0.884857002
BCM,2021,1,441.1580387,0.027713053,0.009896815,3.685697862,130.3387788,0.408381048,1.722108243,1.283560418
BCM,2021,2,466.5520663,0.030980298,0.010960466,3.676723873,116.6000623,0.631663501,1.93425338,1.161759384
BCM,2021,3,46.93313785,0.003067003,0.001040956,3.055182406,950.288049,-0.920233926,1.95856545,0.956638885
BCM,2021,4,275.0635687,0.020042056,0.006847248,4.269622661,232.6734882,-0.617618226,1.896343219,1.36394499
BCM,2022,1,410.2176926,0.022802704,0.007974815,4.634170738,178.9293863,-0.164267263,1.823945501,1.534605967
BCM,2022,2,916.8500379,0.056481624,0.020412508,4.027167245,73.07629081,0.952870461,1.712787259,1.388745839
BCM,2022,3,196.4002124,0.014009235,0.005227012,5.403401805,461.3029634,4.148234813,1.647859637,1.904829098
BCM,2022,4,104.5928495,0.002696201,0.001010181,4.971783603,770.6071721,-0.851403478,1.690957482,1.727515714
BCM,2023,1,88.41895441,0.00414548,0.001536485,5.102331483,937.5817725,-0.80967083,1.705091988,1.765852319
BCM,2023,2,133.9288379,0.001759904,0.000648644,4.850653322,591.3588235,-0.968874025,1.721325779,1.679356965
BCM,2023,3,210.0208311,0.012009538,0.004388712,4.246409642,330.9195551,-0.167963673,1.751564201,1.454527768
BCM,2023,4,1908.857383,0.104600835,0.038073061,3.534036336,32.9516498,38.76110529,1.743501327,1.218583773
BCM,2024,1,114.121842,0.006114819,0.002218504,3.634964518,568.6904354,0.602075072,1.769024183,1.242328068
BCM,2024,2,264.1121263,0.014623391,0.005274166,3.535336087,241.5640693,8.088922628,1.776226678,1.204852316
BCM,2024,3,332.7487711,0.018236356,0.00664577,3.823828548,210.9699752,0.683510655,1.712411595,1.334596246
BCM,2024,4,1402.148825,0.079787414,0.028716731,3.770755401,50.56524581,-0.169910582,1.842506326,1.248393229
BCM,2025,1,346.1504235,0.017522755,0.006191636,3.904766954,216.0910255,2.065827405,1.817846612,1.305511278
BCM,2025,2,1425.736657,0.069257161,0.025338373,3.15268952,45.02935354,4.158265016,1.651377965,1.153654206
BCM,2025,3,401.6265211,0.019282119,0.007296417,3.230191037,166.5726651,0.163548168,1.634131609,1.190084162
BID,2020,1,350.4029534,0.018409786,0.000983959,1.727454815,88.04149536,-0.286594403,17.24216629,0.085805999
BID,2020,2,493.0465205,0.025778272,0.001416475,2.109584534,76.86901423,0.172964275,17.15581285,0.10541509
BID,2020,3,524.2042624,0.026992455,0.00149223,2.216096473,77.83225534,0.160012976,17.02299714,0.111798386
BID,2020,4,371.9262284,0.019328198,0.001043236,2.670113935,128.7889811,-0.463667527,18.04268963,0.127023458
BID,2021,1,658.4100254,0.033617943,0.001769777,2.309552412,65.23290707,0.884131225,17.94997551,0.110813439
BID,2021,2,909.6707085,0.04483106,0.002336091,2.463720568,51.94187255,0.825516786,18.42478802,0.11571338
BID,2021,3,509.2010975,0.024885459,0.001275041,2.020794172,77.47430278,-0.023802876,18.60837731,0.094071658
BID,2021,4,431.9979555,0.026205707,0.001309743,2.383675307,85.88003607,0.450599449,19.4067609,0.106528792
BID,2022,1,705.9688023,0.041297975,0.002015662,2.674394439,61.61745371,0.336620567,19.56713295,0.119091442
BID,2022,2,1019.637188,0.056593045,0.002717345,1.956066332,32.85482365,0.390583484,20.07479297,0.08561672
BID,2022,3,1043.378699,0.054959563,0.002658344,1.865452496,32.49060003,1.522825065,19.30172405,0.083693467
BID,2022,4,820.6993089,0.041230343,0.002028262,2.054672637,47.0330602,0.87246711,19.35329193,0.092076844
BID,2023,1,1081.042652,0.05194432,0.002629959,2.322312821,42.73651916,0.528189374,18.17973644,0.110924929
BID,2023,2,1072.671435,0.049552093,0.002623024,2.09051206,40.41312054,0.067351266,17.61355262,0.103205171
BID,2023,3,905.9718144,0.040541464,0.002220927,2.043989044,48.9529578,-0.116972331,16.90992777,0.105185573
BID,2023,4,1057.361947,0.050756008,0.002769829,2.185387826,41.04554749,0.452135305,17.72651572,0.107524134
BID,2024,1,1019.684828,0.046970526,0.002555547,2.489333638,51.09421909,0.064136602,17.0496809,0.127534156
BID,2024,2,1116.748633,0.049505499,0.002692138,1.978746034,38.7285005,0.176281213,17.7137945,0.097793286
BID,2024,3,903.670893,0.038174876,0.002045836,2.209512721,54.99789845,0.102778697,17.6072499,0.109982036
BID,2024,4,1132.308766,0.056088946,0.002977988,1.927720442,33.16233269,0.294136567,18.05162273,0.093814279
BID,2025,1,831.8005921,0.039593864,0.002120479,1.872662894,46.58568456,0.006708219,17.31940574,0.095261626
BID,2025,2,962.0642092,0.043297192,0.00235926,1.675194028,37.73136933,0.056680212,17.38327157,0.085195773
BID,2025,3,847.8360851,0.036809604,0.002007684,1.784519061,47.17893081,0.167446574,17.28698449,0.09142487
BMP,2020,1,1250.51804,0.04061491,0.03530646,1.088202029,27.1487487,0.123918392,0.146714638,0.94242959
BMP,2020,2,1908.759989,0.06235527,0.052476511,1.752352064,27.19042744,0.334144663,0.232027816,1.413271559
BMP,2020,3,1870.754322,0.063625179,0.049001542,2.123811589,32.55371338,0.272648393,0.36706837,1.544765503
BMP,2020,4,1354.672058,0.045897293,0.03551728,2.082836268,46.21044601,0.17272963,0.220793366,1.698365803
BMP,2021,1,1025.623367,0.034526961,0.028442639,2.003703904,56.8434787,-0.179841207,0.206808166,1.65344291
BMP,2021,2,511.0266371,0.017805203,0.014796065,2.114659894,116.0409178,-0.732272973,0.199814391,1.753594346
BMP,2021,3,-317.0927941,-0.011314225,-0.009747507,1.903070696,-166.5127716,-1.169963308,0.121201106,1.689867575
BMP,2021,4,1398.097648,0.050036544,0.042354657,2.14683358,42.84393159,0.032056165,0.241221901,1.72257356
BMP,2022,1,1556.876202,0.054068364,0.044429336,2.08369683,39.43794626,0.517980433,0.193960473,1.738898843
BMP,2022,2,1774.272519,0.059594069,0.049795193,1.931568025,32.52037067,2.471976587,0.199569185,1.604868485
BMP,2022,3,2139.450141,0.068922468,0.058303614,1.798947958,26.92280549,NULL,0.165853279,1.538590392
BMP,2022,4,3010.476279,0.093882675,0.080675698,1.878893873,19.93040119,1.153266106,0.161549759,1.613133603
BMP,2023,1,3429.538864,0.101657008,0.086709532,1.65122352,17.02852841,1.202833378,0.182173204,1.393482394
BMP,2023,2,3598.88866,0.104134358,0.084693045,2.750876532,25.67459255,1.028374233,0.279435175,2.144983816
BMP,2023,3,2550.546707,0.072989065,0.059621933,2.379397244,33.71826118,0.192150571,0.172851034,2.024478173
BMP,2023,4,3137.791038,0.090849347,0.076305691,3.181320003,33.23994451,0.042290571,0.210159444,2.623070169
BMP,2024,1,2319.483068,0.068185924,0.056200164,3.133688836,47.42435999,-0.323674943,0.216173775,2.571230394
BMP,2024,2,3424.105833,0.10136354,0.085103604,3.095653586,29.20470479,-0.048565778,0.163781558,2.653361655
BMP,2024,3,3538.084455,0.103594642,0.087782279,3.308852542,33.52096354,0.387186694,0.194871289,2.763125433
BMP,2024,4,2821.311943,0.08186529,0.068796429,3.981613028,46.46774361,-0.100860475,0.18462321,3.353221627
BMP,2025,1,3504.853775,0.100841859,0.083917123,3.274503116,34.03850992,0.511049519,0.217106798,2.684845675
