mack,date,datetime,title,url,content,text,sent_pos,sent_neu,sent_neg,sent_score,has_news,sent_intensity,sent_score_rolling3,sent_shock,sent_score_lag1,sent_score_lag2,sentiment_label
ACB,2020-01-19,1/19/2020 9:22,ACB có thể chọn đối tác độc quyền bancassurance trong nửa cuối năm nay,https://cafef.vn/acb-co-the-chon-doi-tac-doc-quyen-bancassurance-trong-nua-cuoi-nam-nay-20200119092134064.chn?utm_source=du-lieu.chn,,ACB có thể chọn đối tác độc quyền bancassurance trong nửa cuối năm nay,0.017105136,0.90109074,0.08180418,-0.06469904,1,-0.06469903886318207,-0.06469903886318207,0.0,,,0
ACB,2020-01-22,1/22/2020 22:13,ACB: Báo cáo quản trị công ty năm 2019,https://cafef.vn/du-lieu/ACB-1716730/acb-bao-cao-quan-tri-cong-ty-nam-2019.chn?utm_source=du-lieu.chn,,ACB: Báo cáo quản trị công ty năm 2019,0.06015285,0.0713018,0.86854535,-0.8083925,1,-0.8083925247192383,-0.4365457817912102,-0.3718467429280281,-0.06469904,,-1
ACB,2020-02-10,2/10/2020 8:43,ACB sẽ họp ĐHĐCĐ thường niên vào ngày 7/4,https://cafef.vn/acb-se-hop-dhdcd-thuong-nien-vao-ngay-74-20200210084318064.chn?utm_source=du-lieu.chn,,ACB sẽ họp ĐHĐCĐ thường niên vào ngày 7/4,0.04045459,0.12290134,0.83664405,-0.7961895,1,-0.7961894869804382,-0.5564270168542862,-0.23976247012615204,-0.8083925,-0.06469904,-1
ACB,2020-02-10,2/10/2020 13:53,ACB: Ngày ĐKCC để thực hiện quyền tham dự họp Đại hội đồng cổ đông năm 2020,https://cafef.vn/du-lieu/ACB-1526296/acb-ngay-dkcc-de-thuc-hien-quyen-tham-du-hop-dai-hoi-dong-co-dong-nam-2020.chn?utm_source=du-lieu.chn,,ACB: Ngày ĐKCC để thực hiện quyền tham dự họp Đại hội đồng cổ đông năm 2020,0.054682575,0.54941195,0.39590546,-0.34122288,1,-0.341222882270813,-0.6486016313234965,0.3073787490526835,-0.7961895,-0.8083925,0
ACB,2020-02-19,2/19/2020 16:41,"ACB: 5.3.2020, ngày GDKHQ tham dự Đại hội đồng cổ đông thường niên năm 2020",https://cafef.vn/du-lieu/ACB-1584001/acb-532020-ngay-gdkhq-tham-du-dai-hoi-dong-co-dong-thuong-nien-nam-2020.chn?utm_source=du-lieu.chn,,"ACB: 5.3.2020, ngày GDKHQ tham dự Đại hội đồng cổ đông thường niên năm 2020",0.012390713,0.8709472,0.116662174,-0.104271464,1,-0.10427146404981613,-0.4138946111003558,0.30962314705053967,-0.34122288,-0.7961895,0
ACB,2020-02-25,2/25/2020 11:00,Có hơn 50 doanh nghiệp lãi nghìn tỷ năm 2019,https://cafef.vn/co-hon-50-doanh-nghiep-lai-nghin-ty-nam-2019-20200224161557204.chn?utm_source=du-lieu.chn,,Có hơn 50 doanh nghiệp lãi nghìn tỷ năm 2019,0.0021493996,0.9814988,0.016351847,-0.014202448,1,-0.014202447608113289,-0.15323226464291415,0.13902981703480086,-0.104271464,-0.34122288,0
ACB,2020-03-02,3/2/2020 18:31,ACB bán hơn 6 triệu cổ phiếu quỹ cho công đoàn để thưởng cho nhân viên,https://cafef.vn/acb-ban-hon-6-trieu-co-phieu-quy-cho-cong-doan-de-thuong-cho-nhan-vien-20200302183145067.chn?utm_source=du-lieu.chn,,ACB bán hơn 6 triệu cổ phiếu quỹ cho công đoàn để thưởng cho nhân viên,0.0239228,0.26359135,0.71248585,-0.68856305,1,-0.6885630488395691,-0.2690123201658328,-0.4195507286737363,-0.014202448,-0.104271464,-1
ACB,2020-03-03,3/3/2020 9:59,ACB: Quyết định HĐQT v/v thực hiện phương án bán cổ phiếu quỹ,https://cafef.vn/du-lieu/ACB-1677340/acb-quyet-dinh-hdqt-vv-thuc-hien-phuong-an-ban-co-phieu-quy.chn?utm_source=du-lieu.chn,,ACB: Quyết định HĐQT v/v thực hiện phương án bán cổ phiếu quỹ,0.92422825,0.010120826,0.06565095,0.8585773,1,0.858577311038971,0.05193727153042952,0.8066400395085415,-0.68856305,-0.014202448,1
ACB,2020-03-12,3/12/2020 14:56,ACB: Báo cáo tài chính năm 2019,https://cafef.vn/du-lieu/ACB-1041484/acb-bao-cao-tai-chinh-nam-2019.chn?utm_source=du-lieu.chn,,ACB: Báo cáo tài chính năm 2019,0.003370298,0.9723785,0.024251191,-0.020880893,1,-0.020880892872810364,0.04971112310886383,-0.0705920159816742,0.8585773,-0.68856305,0
ACB,2020-03-12,3/12/2020 14:56,ACB: Báo cáo tài chính năm 2019 (Công ty mẹ),https://cafef.vn/du-lieu/ACB-1039255/acb-bao-cao-tai-chinh-nam-2019-cong-ty-me.chn?utm_source=du-lieu.chn,,ACB: Báo cáo tài chính năm 2019 (Công ty mẹ),0.004546602,0.95698184,0.03847159,-0.03392499,1,-0.03392498940229416,0.2679238095879555,-0.30184879899024963,-0.020880893,0.8585773,0
