date,mack,open,high,low,close,volume
1/2/2020,ACB,6580,6640,6560,6640,1163109
1/3/2020,ACB,6640,6690,6600,6640,1055528
1/6/2020,ACB,6640,6640,6500,6500,1286035
1/7/2020,ACB,6500,6560,6500,6500,1050934
1/8/2020,ACB,6500,6500,6350,6380,2304937
1/9/2020,ACB,6410,6530,6410,6470,1422248
1/10/2020,ACB,6500,6670,6500,6560,2371501
1/13/2020,ACB,6600,6600,6560,6600,1523181
1/14/2020,ACB,6600,6780,6600,6780,2851982
1/15/2020,ACB,6780,6780,6690,6730,1158657
1/16/2020,ACB,6730,6930,6730,6900,2819687
1/17/2020,ACB,6930,6960,6840,6870,2706194
1/20/2020,ACB,6870,7130,6870,7010,4443379
1/21/2020,ACB,7070,7130,7010,7070,1775816
1/22/2020,ACB,7100,7100,7010,7070,1574379
1/30/2020,ACB,6990,7010,6690,6820,4250097
1/31/2020,ACB,6780,6870,6600,6640,4243264
2/3/2020,ACB,6430,6640,6260,6530,4430186
2/4/2020,ACB,6600,6690,6500,6690,2397062
2/5/2020,ACB,6750,6780,6600,6640,2790275
2/6/2020,ACB,6670,6930,6640,6930,2980981
2/7/2020,ACB,6930,6960,6820,6870,2007251
2/10/2020,ACB,6870,6900,6750,6820,1271190
2/11/2020,ACB,6820,6870,6780,6840,1862090
2/12/2020,ACB,6870,7420,6870,7390,10516207
2/13/2020,ACB,7390,7420,7240,7360,3773365
2/14/2020,ACB,7360,7750,7360,7620,8018099
2/17/2020,ACB,7590,7700,7500,7620,3764464
2/18/2020,ACB,7620,7820,7590,7680,6293208
2/19/2020,ACB,7650,7700,7480,7590,5091969
2/20/2020,ACB,7590,7790,7530,7620,5578717
2/21/2020,ACB,7190,7680,7190,7420,6333926
2/24/2020,ACB,7360,7390,6870,6930,10321149
2/25/2020,ACB,6780,7240,6670,7240,8279866
2/26/2020,ACB,7220,7240,7010,7100,4519324
2/27/2020,ACB,6990,7360,6990,7360,5309790
2/28/2020,ACB,6640,7300,6640,7280,5959642
3/2/2020,ACB,7040,7360,7040,7280,3629494
3/3/2020,ACB,7390,7480,7300,7390,6364207
3/4/2020,ACB,7390,7440,7300,7440,5047583
3/5/2020,ACB,7500,7620,7340,7390,5965022
3/6/2020,ACB,7360,7360,7240,7300,3959935
3/9/2020,ACB,7130,7130,6640,6730,16776046
3/10/2020,ACB,6640,7160,6600,6990,7582331
3/11/2020,ACB,7010,7040,6640,6750,7841324
3/12/2020,ACB,6640,6640,6210,6380,11082125
3/13/2020,ACB,6210,6500,5920,6350,9020091
3/16/2020,ACB,6350,6430,5970,6030,4614344
3/17/2020,ACB,6000,6170,5810,6090,6568088
3/18/2020,ACB,6150,6230,6030,6120,4944595
3/19/2020,ACB,6070,6150,5970,6090,4083896
3/20/2020,ACB,6690,6690,6070,6170,3341564
3/23/2020,ACB,6120,6170,5570,5570,10024177
3/24/2020,ACB,5510,5750,5510,5660,4315784
3/25/2020,ACB,5770,6000,5770,5920,4115341
3/26/2020,ACB,5940,5940,5680,5680,3631529
3/27/2020,ACB,5680,5810,5630,5680,3980631
3/30/2020,ACB,5630,5630,5160,5250,5925098
3/31/2020,ACB,5250,5430,5020,5140,4532153
4/1/2020,ACB,4650,5480,4650,5370,2761168
4/3/2020,ACB,5220,5600,5220,5510,3574343
4/6/2020,ACB,5600,6000,5510,5940,5757259
4/7/2020,ACB,6070,6070,5770,5860,4467621
4/8/2020,ACB,6430,6430,5680,5830,2331536
4/9/2020,ACB,6410,6410,5770,5770,4068966
4/10/2020,ACB,5480,5830,5480,5720,2517477
4/13/2020,ACB,5160,5890,5160,5770,1926793
4/14/2020,ACB,5770,5830,5680,5770,3167293
4/15/2020,ACB,5770,5970,5770,5830,3686239
4/16/2020,ACB,5830,5890,5810,5890,1895213
4/17/2020,ACB,5920,6090,5920,6070,4809341
4/20/2020,ACB,6120,6120,5940,5970,3064104
4/21/2020,ACB,5940,5940,5680,5720,6015799
4/22/2020,ACB,5720,5890,5600,5890,2637424
4/23/2020,ACB,5920,6000,5860,5860,2076603
4/24/2020,ACB,5830,5890,5630,5860,1264729
4/27/2020,ACB,5860,5940,5770,5810,1806851
4/28/2020,ACB,5810,5890,5770,5860,1246915
4/29/2020,ACB,5860,5920,5830,5920,1196049
5/4/2020,ACB,5920,5920,5810,5860,1193939
5/5/2020,ACB,5830,5890,5830,5860,1126770
5/6/2020,ACB,5890,6120,5830,6000,4453036
5/7/2020,ACB,6030,6120,6000,6120,2973997
5/8/2020,ACB,6150,6320,6070,6170,5995918
5/11/2020,ACB,6320,6320,6170,6260,4108808
5/12/2020,ACB,6260,6350,5660,6290,4057939
5/13/2020,ACB,6350,6350,6210,6260,3453900
5/14/2020,ACB,6260,6290,6070,6170,3827622
5/15/2020,ACB,6210,6410,6070,6260,6937907
5/18/2020,ACB,6320,6320,6170,6290,2771622
5/19/2020,ACB,6350,6500,6350,6410,5561531
5/20/2020,ACB,6380,6470,6350,6410,3116422
5/21/2020,ACB,6410,6560,6320,6470,4622625
5/22/2020,ACB,6500,6560,6430,6470,4841440
5/25/2020,ACB,6500,6560,6430,6530,3519682
5/26/2020,ACB,6500,6780,6500,6730,5267006
5/27/2020,ACB,6780,6840,6580,6580,6389497
5/28/2020,ACB,6580,6690,6580,6600,3568932
5/29/2020,ACB,6600,6640,6560,6600,2394358
6/1/2020,ACB,6640,7240,6600,7240,13859688
6/2/2020,ACB,7360,7650,7160,7160,10935462
6/3/2020,ACB,7160,7360,7160,7360,3758964
6/4/2020,ACB,7390,7420,7280,7300,5159832
6/5/2020,ACB,7340,7340,7190,7280,4025847
6/8/2020,ACB,7280,7500,7280,7340,6087882
6/9/2020,ACB,7360,7390,7280,7360,3531851
6/10/2020,ACB,7360,7480,7280,7390,6494275
6/11/2020,ACB,7390,7440,7040,7070,9172138
6/12/2020,ACB,6930,7070,6750,7070,6648375
6/15/2020,ACB,7130,7130,6690,6730,5885937
6/16/2020,ACB,6820,6990,6820,6870,4198360
6/17/2020,ACB,7010,7010,6780,6840,1599340
6/18/2020,ACB,6840,6900,6750,6870,1301526
6/19/2020,ACB,6870,7070,6870,7040,2334941
6/22/2020,ACB,7040,7130,6930,6960,2256643
6/23/2020,ACB,6990,7040,6900,6930,3282364
6/24/2020,ACB,6930,7010,6840,6870,3013466
6/25/2020,ACB,6840,6870,6780,6840,2500893
6/26/2020,ACB,6870,6930,6820,6820,1400341
6/29/2020,ACB,6820,6820,6560,6600,4353272
6/30/2020,ACB,6640,6730,6470,6580,3585625
7/1/2020,ACB,6580,6730,6580,6690,1676001
7/2/2020,ACB,6690,6750,6640,6670,1070089
7/3/2020,ACB,6690,6730,6640,6640,1271360
7/6/2020,ACB,6640,6840,6640,6820,3204367
7/7/2020,ACB,6840,6930,6840,6840,2389942
7/8/2020,ACB,6820,6930,6820,6900,1647694
7/9/2020,ACB,6900,7010,6900,7010,2248695
7/10/2020,ACB,7010,7040,6870,6930,2284971
7/13/2020,ACB,6960,6990,6870,6900,1840084
7/14/2020,ACB,6900,6960,6840,6930,1406915
7/15/2020,ACB,6990,6990,6930,6930,1570073
7/16/2020,ACB,6990,6990,6900,6930,903322
7/17/2020,ACB,6960,7220,6930,7160,7890281
7/20/2020,ACB,7160,7190,7070,7070,2622350
7/21/2020,ACB,7070,7100,6990,7100,2194410
7/22/2020,ACB,7100,7160,6990,7040,1726317
7/23/2020,ACB,7040,7040,6930,6990,1955757
7/24/2020,ACB,7010,7010,6500,6690,5532575
7/27/2020,ACB,6030,6600,6030,6290,6240477
7/28/2020,ACB,6290,6600,6210,6600,2598740
7/29/2020,ACB,6560,6580,6230,6410,4929532
7/30/2020,ACB,6260,6530,6260,6530,1914488
7/31/2020,ACB,6560,6560,6380,6500,2220749
8/3/2020,ACB,6380,6690,6380,6690,3044620
8/4/2020,ACB,6730,6900,6730,6840,2907562
8/5/2020,ACB,6900,7040,6840,6930,5472736
8/6/2020,ACB,6960,6960,6840,6870,1874899
8/7/2020,ACB,6900,6960,6780,6840,2150978
8/10/2020,ACB,6840,6960,6840,6870,2576760
8/11/2020,ACB,6930,7340,6900,7340,15333430
8/12/2020,ACB,7440,7480,7280,7340,6091725
8/13/2020,ACB,7340,7390,7300,7360,3803166
8/14/2020,ACB,7360,7360,7220,7300,6682494
8/17/2020,ACB,7300,7440,7280,7440,6222301
8/18/2020,ACB,7500,7530,7390,7390,4710796
8/19/2020,ACB,7420,7440,7340,7390,9263369
8/20/2020,ACB,7730,7950,7500,7800,19475136
8/21/2020,ACB,7800,7950,7730,7950,7392791
8/24/2020,ACB,7950,8060,7880,7880,6821518
8/25/2020,ACB,7880,7950,7800,7920,7801079
8/26/2020,ACB,7920,8000,7840,7950,6018699
8/27/2020,ACB,7950,8060,7920,8060,4863627
8/28/2020,ACB,8100,8180,8000,8030,6947593
8/31/2020,ACB,8030,8060,7920,7950,7008237
9/1/2020,ACB,7950,8000,7880,7920,7822064
9/3/2020,ACB,7920,8030,7880,7950,6080561
9/4/2020,ACB,7880,7950,7800,7920,4665691
9/7/2020,ACB,7920,7950,7800,7800,6067374
9/8/2020,ACB,7800,7840,7730,7730,12273484
9/9/2020,ACB,7730,7840,7610,7840,5021412
9/10/2020,ACB,7840,7950,7840,7840,3249267
9/11/2020,ACB,7840,7880,7760,7800,2350091
9/14/2020,ACB,7800,8000,7800,7950,5275848
9/15/2020,ACB,7950,8030,7920,8000,4632880
9/16/2020,ACB,7950,8000,7920,7950,2194115
9/17/2020,ACB,8000,8180,7920,8060,12323866
9/18/2020,ACB,8060,8140,8030,8140,3280690
9/21/2020,ACB,8180,8360,8100,8260,7244851
9/22/2020,ACB,8260,8360,8140,8360,8818518
9/23/2020,ACB,8360,8560,8360,8450,6511427
9/24/2020,ACB,8400,8480,8260,8320,5599785
9/25/2020,ACB,8320,8400,8210,8320,6416344
9/28/2020,ACB,8320,8560,8320,8480,8207740
9/29/2020,ACB,8510,8560,8360,8400,5923046
9/30/2020,ACB,8400,8450,8320,8450,3624221
10/1/2020,ACB,8360,8560,8320,8450,6510267
10/2/2020,ACB,8400,8810,8400,8630,23518516
10/5/2020,ACB,8630,8850,8590,8850,12891936
10/6/2020,ACB,8850,9070,8850,9010,10977492
10/7/2020,ACB,9010,9040,8740,8770,17695173
10/8/2020,ACB,8710,8880,8630,8710,13901830
10/9/2020,ACB,8710,8920,8660,8810,8725441
10/12/2020,ACB,8880,8920,8740,8740,8648083
10/13/2020,ACB,8770,8770,8660,8770,5325101
10/14/2020,ACB,8810,9040,8770,9010,20294474
10/15/2020,ACB,9010,9310,8970,9190,16349453
10/16/2020,ACB,9190,9380,9070,9270,8719031
10/19/2020,ACB,9380,9630,9340,9490,14160428
10/20/2020,ACB,9530,9600,9380,9490,11362976
10/21/2020,ACB,9530,9600,9450,9450,8869815
10/22/2020,ACB,9490,9760,9380,9600,9447256
10/23/2020,ACB,9680,9720,9570,9600,8028985
10/26/2020,ACB,9600,9680,9310,9310,11665717
10/27/2020,ACB,9270,9340,9150,9150,11726997
10/28/2020,ACB,9150,9190,8880,8920,14916975
10/29/2020,ACB,8850,9120,8710,8970,8515433
10/30/2020,ACB,9040,9120,8920,9040,4395888
11/2/2020,ACB,9070,9190,9010,9190,3777582
11/3/2020,ACB,9190,9450,9190,9380,7708705
11/4/2020,ACB,9420,9630,9420,9570,12607096
11/5/2020,ACB,9570,9630,9340,9340,8550742
11/6/2020,ACB,9340,9420,9310,9420,3672492
11/9/2020,ACB,9420,9570,9420,9530,5900784
11/10/2020,ACB,9630,9760,9490,9490,8857665
11/11/2020,ACB,9490,9570,9450,9530,4528033
11/12/2020,ACB,9530,9900,9530,9900,18955350
11/13/2020,ACB,9900,10020,9870,9930,6230740
11/16/2020,ACB,9930,10060,9830,9830,8984187
11/17/2020,ACB,9830,10200,9830,10200,16779929
11/18/2020,ACB,10200,10390,10090,10200,7925873
11/19/2020,ACB,10240,10310,10130,10200,6416782
11/20/2020,ACB,10240,10280,10060,10240,9596358
11/23/2020,ACB,10310,10310,10130,10240,10893510
11/24/2020,ACB,10240,10430,10160,10240,10360554
11/25/2020,ACB,10240,10350,10160,10240,6488827
11/26/2020,ACB,10240,10390,10130,10280,10037160
11/27/2020,ACB,10310,10350,10200,10200,5465478
11/30/2020,ACB,10280,10280,10130,10200,8943902
12/1/2020,ACB,10200,10240,10060,10240,9249711
12/9/2020,ACB,10540,10850,10430,10710,24200930
12/10/2020,ACB,10810,10810,10460,10490,9233750
12/11/2020,ACB,10540,10590,10430,10580,4459820
12/14/2020,ACB,10620,10690,10540,10580,7325960
12/15/2020,ACB,10580,10590,10460,10500,7305490
12/16/2020,ACB,10500,10670,10500,10590,10461450
12/17/2020,ACB,10540,10820,10520,10620,13567290
12/18/2020,ACB,10670,10740,10620,10650,11693630
12/21/2020,ACB,10690,10990,10640,10850,22481640
12/22/2020,ACB,10850,10880,10730,10780,7573290
12/23/2020,ACB,10810,10820,10500,10540,11216860
12/24/2020,ACB,10540,10620,9930,10240,15831250
12/25/2020,ACB,10240,10500,10200,10490,9194080
12/28/2020,ACB,10620,10620,10380,10430,6223680
12/29/2020,ACB,10430,10490,10350,10390,6501920
12/30/2020,ACB,10410,10580,10410,10430,6741290
12/31/2020,ACB,10460,10620,10450,10540,6774680
1/4/2021,ACB,10710,10820,10690,10740,10776300
1/5/2021,ACB,10730,11100,10620,11010,18693900
1/6/2021,ACB,11140,11480,10990,11210,15883900
1/7/2021,ACB,11210,11250,11100,11210,11636100
