Sector,Fundamental,Technical,Sentiment,Fund+Tech,Fund+Sent,Tech+Sent,All
Công nghiệp,0.5254973672416342,0.5102570811110146,0.4774067036785876,0.5093701090412489,0.4927302900961826,0.5023590993244464,0.5197081439522818
Công nghệ thông tin,0.588302752293578,0.5476201289853756,0.5024638931783086,0.5492551548732855,0.5855322917612862,0.5536152239077119,0.5778681079117086
Dược phẩm và Y tế,0.583480979676915,0.5513288170922355,0.5809796769150599,0.5824908806670142,0.6297029702970296,0.5495570609692548,0.6174048983845752
Dầu khí,0.4410891599267334,0.5232481990831697,0.5262217479613986,0.5028505513282073,0.4684611011937412,0.5130460509475798,0.5419770692675662
Dịch vụ Tiêu dùng,0.4920302506222525,0.5341835856495332,0.4817641096257195,0.4926545522104648,0.48640743806846276,0.5215882669551841,0.5007199276520522
Hàng tiêu dùng,0.5339480822666705,0.5256464076777126,0.515899338664692,0.5366889429499431,0.5494145848380472,0.5138146853116463,0.5335721754185603
Nguyên vật liệu,0.5477458138338608,0.547186890068548,0.500540065981291,0.5689267720816793,0.5152784718489952,0.5238105714641916,0.5502952814681413
Ngân hàng,0.5077349019807322,0.5160720352146323,0.49696686183924876,0.5114947143534507,0.5112747137357776,0.5185954114156885,0.49741939820475134
Tiện ích cộng đồng,0.5567014496939937,0.6024263869581702,0.5435224133884566,0.5724215125200844,0.5241555487353541,0.5789839504612663,0.5652091495008215
Tài chính,0.538031012479268,0.5307393941695893,0.4927821920380835,0.5211327070487959,0.5242331812637949,0.5345971388137449,0.5244335550369342
Viễn thông,0.5356025039123631,0.49295774647887325,0.586194248826291,0.608910406885759,0.4734692879499217,0.4984839593114241,0.5620109546165885
