Sector,AUC,Accuracy,F1,Samples
Dịch vụ Tiêu dùng,0.5216101243412048,0.5206611570247934,0.3722943722943723,2760
Ngân hàng,0.528611162079233,0.5238095238095238,0.41869021339220014,8379
Công nghệ thông tin,0.5294304659823781,0.5238095238095238,0.1452991452991453,919
Công nghiệp,0.5383958593891156,0.5415651232060655,0.38234221087194453,8029
Tiện ích cộng đồng,0.5529237601776462,0.5393759286775631,0.45229681978798586,1897
Hàng tiêu dùng,0.5549593194912699,0.5641263940520446,0.41594022415940224,5299
Nguyên vật liệu,0.5596665524723079,0.5301944728761515,0.38636363636363635,4703
Tài chính,0.5662406328118517,0.5310600444773906,0.4048918156161806,15079
Dầu khí,0.5826526914855777,0.5663636363636364,0.2115702479338843,2747
Dược phẩm và Y tế,0.6427305888483585,0.5255102040816326,0.0970873786407767,397
Viễn thông,0.6455888106416275,0.5034965034965035,0.0273972602739726,620
